Label_Encoding,rating,Discount_value,actual_price_value,Rating count,discounted_price
1,4,64,1099,24269,399
1,4,43,349,43994,199
1,4,90,1899,7928,199
1,4.2,53,699,94363,329
1,4.2,61,399,16905,154
1,4,85,1000,24871,149
1,4.1,65,499,15188,176.63
1,4.3,23,299,30411,229
9,4.2,50,999,179691,499
1,4,33,299,43994,199
1,4.3,55,339,13391,154
1,4.2,63,799,94363,299
13,4.4,69,700,426973,219
1,4.2,61,899,2262,350
1,4.1,60,399,4768,159
1,4.4,13,399,18757,349
17,4,44,24999,32840,13999
1,4,38,399,43994,249
1,4.1,60,499,13045,199
17,4,39,21990,11976,13490
1,5,46,1799,815,970
13,3.7,44,499,10962,279
17,4,41,22900,16299,13490
1,4,70,199,9378,59
17,4,42,19990,4703,11499
13,4.2,72,699,12153,199
17,4,25,19999,34899,14999
1,4,25,399,2766,299
1,4,51,1999,184,970
1,4.3,70,999,20850,299
1,4.5,73,750,74976,199
1,4,64,499,1934,179
1,4,65,1099,974,389
1,4.3,0,599,355,599
1,3.9,80,999,1075,199
1,3.9,85,666.66,24871,99
1,4,53,1900,13552,899
1,4,80,999,576,199
17,4,28,45999,7298,32999
1,4,51,1999,462,970
1,4.5,70,695,107687,209
17,4,43,34999,27151,19999
1,4,64,1099,24269,399
9,4,38,1599,12093,999
1,4,70,199,9378,59
1,3.3,67,999,9792,333
9,4,58,1208,8131,507
13,4.4,35,475,426973,309
49,3.6,60,999,493,399
1,4.2,50,395,92595,199
9,4,45,2199,24780,1199
1,4.2,64,500,92595,179
1,4,62,2100,8188,799
54,4,46,12999,4003,6999
1,4.1,43,349,314,199
49,3.7,54,499,2960,230
9,4,54,1399,179691,649
17,4,27,21999,34899,15999
1,4,77,1499,656,348
1,4.3,56,349,7064,154
49,3.7,78,799,2201,179
17,4,31,47900,7109,32990
1,4,86,999,1313,139
1,4.2,61,845,29746,329
17,4,44,24999,45238,13999
13,4,78,1400,426973,309
1,4.1,62,699,450,263
54,4,47,14990,457,7999
69,4,47,2999,2727,1599
1,4.3,69,700,20053,219
1,4.5,61,899,149,349
1,4.1,42,599,210,349
17,4,37,42999,45238,26999
1,4,77,499,7732,115
1,4.1,60,999,1780,399
1,4.1,60,499,602,199
1,4,55,399,1423,179
17,4,65,30990,398,10901
1,3.9,58,499,536,209
49,4,64,3999,32,1434
1,4,64,1099,24269,399
1,4,44,249,9378,139
17,3,62,19125,902,7299
1,4.4,63,799,28791,299
1,4,75,1299,10576,325
17,4,25,39999,7298,29999
17,4,32,40990,4703,27999
17,4,41,52900,7109,30990
1,4.5,80,999,127,199
1,4,68,1999,24269,649
9,3.6,66,800,10134,269
17,4,22,31999,34899,24999
1,4.2,57,699,94363,299
1,4.1,80,999,425,199
17,4,54,40990,6659,18990
9,3.7,17,349,1977,290
49,3.8,69,799,1079,249
1,3.7,65,999,1097,345
9,5,42,1899,22420,1099
1,4,52,1499,1045,719
49,4,77,1499,4145,349
1,4,53,1809,6547,849
49,4,67,899,1588,299
17,4,27,29999,32840,21999
1,4.2,65,999,13120,349
1,4.3,60,999,2806,399
1,4,65,1299,24269,449
1,4.3,70,999,766,299
17,4,42,65000,3587,37999
1,3.9,88,800,24871,99
54,4,63,20000,2581,7390
1,4.3,73,999,20850,273.1
17,4,33,23990,1035,15990
1,4.1,60,999,1780,399
49,5,80,1999,505,399
1,4.1,47,399,1717,210
49,4,35,1999,590,1299
1,3.5,65,999,1121,347
1,4,85,999,1313,149
1,3.8,75,899,132,228
1,4,20,1999,1951,1599
49,4,63,3999,37,1499
17,4,47,15999,592,8499
17,4,53,44990,1259,20990
17,4,27,44999,45238,32999
13,4,53,1700,28638,799
13,4.3,62,595,12835,229
17,4,64,27990,1269,9999
49,4.2,42,599,284,349
130,4,59,1200,69538,489
17,4,31,34990,4703,23999
1,4.3,60,999,2806,399
133,4,73,1299,3295,349
1,3.9,40,299,81,179
1,4,54,1500,42301,689
17,4,38,49990,1376,30990
1,3.9,73,931,1075,249
13,5,58,2399,3664,999
49,3.9,0,399,1951,399
1,4.3,50,699,20850,349
1,4,64,1099,2685,399
9,4,43,2999,24780,1699
49,3,40,1099,285,655
9,4,44,1339,179692,749
17,4,23,12999,6088,9999
49,3.7,61,499,1383,195
1,5,52,2100,5492,999
1,4.2,44,899,919,499
149,4.2,31,599,30023,416
1,4.2,47,699,387,368
17,4,54,65000,211,29990
1,4,69,1099,974,339
17,4,26,20900,16299,15490
1,4,62,1299,30411,499
9,3.4,38,399,4642,249
49,4.3,50,799,12,399
1,4,25,1999,1951,1499
158,4,41,15990,10480,9490
13,4,58,1499,24,637
49,3.9,56,899,254,399
149,4,32,1600,3565,1089
1,4.3,66,999,6255,339
1,4,70,499,7732,149
1,3.9,63,399,57,149
1,4.5,29,849,577,599
49,4,75,1199,1193,299
1,4,69,1299,13120,399
49,4,83,1999,343,339
17,4,46,22990,1611,12499
1,4,38,399,6558,249
9,4,44,2499,23169,1399
17,4,31,47990,4703,32999
1,4,63,399,1423,149
1,4.3,67,999,2651,325
1,5,80,1999,5,399
9,3.7,60,499,612,199
1,4,71,299,9378,88
1,4,64,1099,2685,399
1,4,71,199,9378,57.89
49,3,60,1999,576,799
49,3.8,59,499,313,205
1,4.1,57,699,2957,299
1,4.1,15,999,6736,849
1,4,53,1999,13552,949
1,4,58,1200,5451,499
1,4.3,38,485,10911,299
1,4,53,1999,13552,949
1,4,66,1099,2806,379
17,4,53,18990,350,8990
149,4,76,1999,30023,486
54,4,48,11000,4003,5699
1,4,65,1999,178817,709
17,4,32,70900,7109,47990
49,4,75,1199,490,299
1,4.1,47,599,491,320
1,3.9,75,549,61,139
1,4,48,249,9378,129
17,4,31,35999,32840,24999
1,4,41,1699,7318,999
1,4.1,55,499,789,225
49,4,82,2999,407,547
1,3.8,63,699,2399,259
49,4.4,66,699,2640,239
49,4,65,999,839,349
13,4.4,22,599,44054,467
1,4,25,599,3231,449
17,4,63,31990,64,11990
1,3.9,42,599,8314,350
1,3.7,75,999,2249,252
49,3.6,66,599,339,204
158,4,35,9990,27,6490
49,3.5,61,599,197,235
1,4.5,63,800,74977,299
1,4,60,1999,8583,799
49,3.8,70,999,928,299
54,4,59,16990,110,6999
17,4,28,59999,6753,42999
13,4.3,83,999,1237,173
219,4.4,65,600,18872,209
1,4,43,1490,356,848.99
1,4,68,1999,24269,649
49,3.8,67,899,425,299
69,4.1,50,799,1161,399
1,4.1,50,499,1508,249
225,4,46,2299,7636,1249
49,3.7,57,499,246,213
49,4,58,499,479,209
13,4,88,4999,910,598
1,4,54,1749,5626,799
1,4.3,73,595,14184,159
231,4,55,1100,25177,499
17,4,36,49999,21252,31999
17,4,42,56790,567,32990
49,4,75,1199,466,299
1,3.9,77,549,61,128.31
1,4.5,29,849,474,599
49,3.4,56,899,431,399
1,4,59,1099,242,449
1,4,68,799,2905,254
240,4.4,50,795,12091,399
1,4,55,399,1423,179
1,4.3,66,999,6255,339
69,4,60,999,1236,399
49,4.2,50,399,1335,199
49,4,83,1999,197,349
1,4.4,63,798,28791,299
1,3.9,89,800,1075,89
1,4.2,45,995,29746,549
1,4,87,1000,295,129
17,4.7,44,139900,5935,77990
49,3.6,56,799,323,349
49,3.7,44,899,185,499
1,4.2,63,799,2117,299
1,4,70,599,9378,182
69,3.6,76,399,1796,96
17,4,35,85000,3587,54990
130,4.2,42,758,4296,439
1,4.3,70,999,2651,299
1,4.2,63,799,94363,299
1,4,61,1999,34540,789
13,4.4,57,700,8714,299
1,4,70,1099,10576,325
1,4,35,1999,7318,1299
49,3,60,1999,103,790
265,5,0,4699,224,4699
17,4,24,24990,4702,18999
1,4.2,80,999,85,199
13,4.4,59,650,35877,269
269,4,36,3100,897,1990
270,4,43,3999,282,2299
17,4,28,49990,1611,35999
49,4.2,65,999,513,349
1,4,52,1499,1045,719
17,4,53,18999,6347,8999
225,4,60,2299,3300,917
49,3.3,60,999,23,399
17,4,34,69900,7109,45999
1,3.8,60,299,51,119
17,4,27,29999,32840,21999
49,3.7,50,599,708,299
17,4,37,34990,1657,21990
1,3.9,38,670,523,417.44
1,3,80,999,,199
17,4,40,79990,1376,47990
49,3.5,57,499,121,215
1,3.9,88,800,1075,99
17,4,46,35000,1001,18999
1,4.3,75,999,112,249
54,4,50,15999,3022,7999
1,4,59,1600,5451,649
49,3,48,2499,73,1289
13,5,59,1500,1029,609
17,4,40,54990,1555,32990
13,4,70,1999,47,599
1,4.1,61,899,14896,349
17,4,41,50999,1712,29999
49,4.2,50,399,1335,199
49,3.9,50,699,214,349
69,4,59,4500,184,1850
158,5,52,28900,7,13990
1,3.7,71,449,41,129
13,4.2,62,999,12153,379
13,4.2,63,499,25,185
9,4.2,78,999,163,218
1,4.3,80,999,87,199
13,4.4,45,900,2165,499
17,4,37,42999,1510,26999
69,4,15,1052,106,893
17,4,45,19990,129,10990
1,4,66,1099,3049,379
17,4,35,25999,32840,16999
13,4,63,1899,390,699
313,4,23,3500,621,2699
1,4.1,78,599,265,129
1,4.3,61,999,838,389
49,4.2,59,600,143,246
1,4,63,799,151,299
49,3.9,38,399,200,247
49,3,54,2999,227,1369
49,3.8,60,499,538,199
13,4,50,599,171,299
17,4,0,14999,27508,14999
1,3.9,57,699,1454,299
17,4,52,51990,2951,24990
1,5,75,999,,249
17,4,11,69999,6753,61999
17,4,51,50000,3518,24499
17,4,46,19499,1510,10499
1,4.3,65,999,838,349
49,3.8,61,499,136,197
225,4,48,2499,301,1299
1,4,20,1899,19763,1519
17,4,33,69999,21252,46999
1,4.3,63,799,1902,299
335,4,91,19999,13937,1799
335,4,80,9999,27696,1998
335,4,75,7990,17831,1999
338,4,7,2199,178912,2049
339,4,28,8999,7807,6499
339,4,0,28999,17415,28999
339,4,0,28999,17415,28999
339,4,28,8999,7807,6499
339,4,28,8999,7807,6499
344,4,43,1000,67259,569
335,4,62,4999,10689,1898
346,4,19,1599,128311,1299
335,4,79,6990,21796,1499
348,4.1,40,999,192590,599
339,4,21,11999,284,9499
348,4,76,2499,58162,599
339,4,25,11999,12796,8999
352,4,73,1299,14282,349
348,4.1,65,999,363713,349
344,4,47,1800,67259,959
339,4,21,11999,284,9499
338,4,40,2499,15970,1499
338,4,48,2199,178912,1149
358,3.9,65,999,46399,349
359,4,28,1699,8891,1219
335,4,60,3999,30254,1599
335,4,81,7999,22636,1499
339,4,29,25999,22318,18499
344,4.4,47,700,67259,369
339,4,28,17999,18998,12999
335,4,91,19999,13937,1799
335,4,78,9999,29471,2199
339,4,32,24999,22318,16999
339,4,21,20999,21350,16499
335,4,91,19999,13937,1799
1,4,64,1099,24270,399
339,4,23,10999,313836,8499
339,4,24,8499,313836,6499
335,4,91,19999,13937,1799
339,4,25,11999,12796,8999
375,4.3,72,495,14185,139
335,4,76,16999,17159,3999
335,4,50,5999,5179,2998
